trial_nr	onset	event_type	phase	response	nr_frames	condition	onset_abs	duration
184	216.58224511146545	response	0	b		blank	392.65962195396423	
184	216.64779210090637	pulse	0	t		blank	392.72516894340515	
185	217.7307939529419	stim	0		30	vertical	393.8081707954407	0.24999594688415527
185	217.7559940814972	pulse	0	t		vertical	393.833370923996	
186	217.98078989982605	stim	0		30	vertical	394.05816674232483	0.25018811225891113
187	218.23097801208496	stim	0		30	vertical	394.30835485458374	0.2499380111694336
188	218.4809160232544	stim	0		30	vertical	394.5582928657532	0.24997806549072266
189	218.73089408874512	stim	0		30	vertical	394.8082709312439	0.2500758171081543
189	218.86439990997314	pulse	0	t		vertical	394.9417767524719	
190	218.98096990585327	stim	0		30	vertical	395.05834674835205	0.24997615814208984
191	219.23094606399536	stim	0		30	vertical	395.30832290649414	0.24991583824157715
192	219.48086190223694	stim	0		30	vertical	395.5582387447357	0.25014305114746094
193	219.7310049533844	stim	0		30	vertical	395.8083817958832	0.24989700317382812
194	219.98090195655823	stim	0		30	vertical	396.058278799057	0.24994111061096191
194	219.98230910301208	pulse	0	t		vertical	396.05968594551086	
195	220.2308430671692	stim	0		30	vertical	396.30821990966797	0.2500889301300049
195	220.23203206062317	response	0	b		vertical	396.30940890312195	
196	220.4809319972992	stim	0		30	vertical	396.558308839798	0.2499830722808838
197	220.73091506958008	stim	0		30	vertical	396.80829191207886	0.24995183944702148
198	220.9808669090271	stim	0		30	vertical	397.0582437515259	0.2500321865081787
198	221.08930110931396	pulse	0	t		vertical	397.16667795181274	
199	221.23089909553528	stim	0		30	vertical	397.30827593803406	0.25000882148742676
200	221.4809079170227	stim	0		30	vertical	397.5582847595215	0.24988412857055664
201	221.73079204559326	stim	0		30	vertical	397.80816888809204	0.250032901763916
202	221.98082494735718	stim	0		30	vertical	398.05820178985596	0.2500009536743164
202	222.1991310119629	pulse	0	t		vertical	398.27650785446167	
203	222.2308259010315	stim	0		30	vertical	398.3082027435303	0.2499990463256836
204	222.48082494735718	stim	0		30	vertical	398.55820178985596	0.24998116493225098
205	222.73080611228943	stim	0		30	vertical	398.8081829547882	0.24997687339782715
206	222.98078298568726	stim	0		30	vertical	399.05815982818604	0.2500419616699219
207	223.23082494735718	stim	0		30	vertical	399.30820178985596	0.24997401237487793
207	223.31421303749084	pulse	0	t		vertical	399.3915898799896	
208	223.48079895973206	stim	0		30	vertical	399.55817580223083	0.24995994567871094
209	223.73075890541077	stim	0		30	vertical	399.80813574790955	0.2500920295715332
210	223.9808509349823	stim	0		30	vertical	400.0582277774811	0.24992895126342773
211	224.23077988624573	stim	0		30	vertical	400.3081567287445	0.25
211	224.4226520061493	pulse	0	t		vertical	400.50002884864807	
212	224.48077988624573	stim	0		30	vertical	400.5581567287445	0.2500150203704834
213	224.7307949066162	stim	0		30	vertical	400.808171749115	0.25003814697265625
213	224.94762897491455	response	0	b		vertical	401.02500581741333	
214	224.98083305358887	stim	0		30	vertical	401.05820989608765	0.24997591972351074
215	225.23080897331238	stim	0		30	vertical	401.30818581581116	0.24998712539672852
216	225.4807960987091	stim	0		30	vertical	401.5581729412079	0.25001096725463867
216	225.53925108909607	pulse	0	t		vertical	401.61662793159485	
217	225.73080706596375	stim	0		30	vertical	401.8081839084625	0.24997186660766602
218	225.9807789325714	stim	0		30	vertical	402.0581557750702	0.25003814697265625
219	226.23081707954407	stim	0		30	vertical	402.30819392204285	0.24997687339782715
220	226.4807939529419	stim	0		30	vertical	402.5581707954407	0.2500579357147217
220	226.64761304855347	pulse	0	t		vertical	402.72498989105225	
221	226.73085188865662	stim	0		30	vertical	402.8082287311554	0.24994707107543945
222	226.98079895973206	stim	0		30	vertical	403.05817580223083	0.24998998641967773
223	227.23078894615173	stim	0		30	vertical	403.3081657886505	0.25002193450927734
223	227.33099389076233	response	0	b		vertical	403.4083707332611	
224	227.480810880661	stim	0		30	vertical	403.5581877231598	0.2499840259552002
225	227.7307949066162	stim	0		30	vertical	403.808171749115	0.250042200088501
225	227.75741600990295	pulse	0	t		vertical	403.83479285240173	
226	227.9808371067047	stim	0		30	vertical	404.0582139492035	0.24993181228637695
227	228.2307689189911	stim	0		30	vertical	404.30814576148987	0.25005006790161133
228	228.4808189868927	stim	0		30	vertical	404.5581958293915	0.2499549388885498
229	228.73077392578125	stim	0		30	vertical	404.80815076828003	0.25014305114746094
229	228.87253499031067	pulse	0	t		vertical	404.94991183280945	
230	228.9809169769287	stim	0		30	vertical	405.0582938194275	0.24988007545471191
231	229.23079705238342	stim	0		30	vertical	405.3081738948822	0.25001001358032227
232	229.48080706596375	stim	0		30	vertical	405.5581839084625	0.24997782707214355
233	229.7307848930359	stim	0		30	vertical	405.80816173553467	0.24999618530273438
233	229.89753794670105	response	0	b		vertical	405.97491478919983	
234	229.98078107833862	stim	0		30	vertical	406.0581579208374	0.2500038146972656
234	229.98196291923523	pulse	0	t		vertical	406.059339761734	
235	230.2307848930359	stim	0		30	vertical	406.30816173553467	0.2501070499420166
236	230.4808919429779	stim	0		30	vertical	406.5582687854767	0.24990105628967285
237	230.73079299926758	stim	0		30	vertical	406.80816984176636	0.24996495246887207
238	230.98075795173645	stim	0		30	vertical	407.05813479423523	0.25012803077697754
238	231.09083795547485	pulse	0	t		vertical	407.16821479797363	
239	231.23088598251343	stim	0		30	vertical	407.3082628250122	0.24991893768310547
240	231.48080492019653	stim	0		30	vertical	407.5581817626953	0.24996304512023926
241	231.73076796531677	stim	0		30	vertical	407.80814480781555	0.2501680850982666
242	231.98093605041504	stim	0		30	vertical	408.0583128929138	0.24989795684814453
242	232.20587706565857	pulse	0	t		vertical	408.28325390815735	
